iter	MultiClass
0	2.623039667
1	2.559635836
2	2.504681473
3	2.457991079
4	2.416158345
5	2.376712139
6	2.342542178
7	2.310909899
8	2.28266228
9	2.256685452
10	2.235029774
11	2.210882545
12	2.188745077
13	2.165534254
14	2.145692312
15	2.12310329
16	2.105116022
17	2.086284276
18	2.069627782
19	2.053805669
20	2.039637243
21	2.023507129
22	2.008348077
23	1.991900588
24	1.980122408
25	1.965282857
26	1.952329639
27	1.940598746
28	1.927829488
29	1.912497449
30	1.90213419
31	1.89201074
32	1.877840622
33	1.867317499
34	1.855337412
35	1.844517323
36	1.837856364
37	1.828582806
38	1.818073566
39	1.807830687
40	1.796581633
41	1.788243931
42	1.77815491
43	1.769462689
44	1.759092828
45	1.74762205
46	1.739795972
47	1.731082974
48	1.722844699
49	1.715123408
50	1.708550776
51	1.701140219
52	1.692384953
53	1.685523719
54	1.680512304
55	1.672521953
56	1.665226869
57	1.657373237
58	1.65082489
59	1.645068495
60	1.638503653
61	1.63315252
62	1.627017374
63	1.619881857
64	1.613436176
65	1.607676693
66	1.602803379
67	1.596944533
68	1.590630028
69	1.585011829
70	1.580277911
71	1.574464214
72	1.569839079
73	1.564923501
74	1.558324499
75	1.553407473
76	1.54763609
77	1.543101396
78	1.536460103
79	1.532159798
80	1.526624342
81	1.520329344
82	1.516370107
83	1.511686334
84	1.507332602
85	1.503945883
86	1.498644469
87	1.494210921
88	1.490543073
89	1.486540959
90	1.482150865
91	1.478139281
92	1.474123672
93	1.469538901
94	1.464762837
95	1.461372948
96	1.456232597
97	1.452179952
98	1.446891399
99	1.443339775
100	1.439539968
101	1.436141075
102	1.432195446
103	1.428368997
104	1.424566099
105	1.420675989
106	1.416317659
107	1.413162378
108	1.410544171
109	1.407740535
110	1.405342422
111	1.401376275
112	1.397978935
113	1.395296922
114	1.390410424
115	1.387925779
116	1.385482072
117	1.382972531
118	1.379692845
119	1.377080111
120	1.374429729
121	1.37093009
122	1.367843777
123	1.364616312
124	1.361715109
125	1.358085362
126	1.354042638
127	1.350729201
128	1.347207555
129	1.344414624
130	1.342264063
131	1.338777905
132	1.335995657
133	1.333635146
134	1.329868497
135	1.328019767
136	1.325421889
137	1.321887631
138	1.319848696
139	1.317525312
140	1.315637711
141	1.312796938
142	1.309888336
143	1.30624885
144	1.303818172
145	1.301224098
146	1.297663088
147	1.295364627
148	1.293149004
149	1.289616762
