iter	Passed	Remaining
0	198	29608
1	348	25795
2	494	24251
3	646	23586
4	791	22944
5	938	22512
6	1084	22155
7	1229	21828
8	1373	21510
9	1518	21252
10	1664	21037
11	1807	20786
12	1952	20571
13	2101	20412
14	2244	20196
15	2389	20015
16	2538	19860
17	2685	19692
18	2828	19500
19	2973	19327
20	3120	19170
21	3265	18999
22	3409	18824
23	3554	18662
24	3702	18510
25	3845	18341
26	3991	18181
27	4135	18017
28	4280	17858
29	4427	17709
30	4575	17562
31	4720	17406
32	4864	17247
33	5009	17090
34	5157	16946
35	5304	16797
36	5448	16639
37	5591	16479
38	5741	16340
39	5885	16185
40	6028	16026
41	6173	15875
42	6320	15727
43	6465	15575
44	6615	15435
45	6765	15295
46	6914	15152
47	7063	15008
48	7208	14858
49	7352	14705
50	7499	14557
51	7642	14403
52	7791	14259
53	7937	14110
54	8081	13958
55	8223	13804
56	8370	13657
57	8518	13511
58	8663	13362
59	8812	13218
60	8963	13078
61	9111	12933
62	9258	12785
63	9405	12638
64	9548	12486
65	9693	12337
66	9836	12185
67	9990	12047
68	10137	11900
69	10284	11753
70	10426	11601
71	10568	11449
72	10714	11302
73	10862	11155
74	11010	11010
75	11155	10862
76	11306	10718
77	11451	10570
78	11594	10420
79	11738	10271
80	11884	10123
81	12033	9979
82	12179	9831
83	12325	9684
84	12469	9535
85	12616	9388
86	12760	9240
87	12903	9090
88	13055	8948
89	13201	8801
90	13344	8651
91	13489	8504
92	13633	8356
93	13776	8207
94	13923	8060
95	14068	7913
96	14218	7768
97	14363	7621
98	14508	7474
99	14653	7326
100	14801	7180
101	14945	7033
102	15093	6887
103	15247	6744
104	15390	6596
105	15537	6449
106	15683	6302
107	15825	6154
108	15967	6005
109	16111	5858
110	16261	5713
111	16407	5566
112	16552	5419
113	16697	5272
114	16843	5126
115	16985	4978
116	17132	4832
117	17280	4686
118	17418	4537
119	17564	4391
120	17706	4243
121	17849	4096
122	17993	3949
123	18139	3803
124	18283	3656
125	18425	3509
126	18569	3363
127	18714	3216
128	18863	3070
129	19005	2923
130	19149	2777
131	19304	2632
132	19441	2485
133	19585	2338
134	19730	2192
135	19871	2045
136	20016	1899
137	20163	1753
138	20308	1607
139	20457	1461
140	20601	1314
141	20745	1168
142	20892	1022
143	21038	876
144	21181	730
145	21325	584
146	21496	438
147	21639	292
148	21782	146
149	21926	0
